symptoms,disease,diagnosis,medicines,tests,precautions,food,emergency
"fever, cough, sore throat",Flu,Influenza is a viral infection affecting the respiratory system.,"Paracetamol (500mg 8 hourly), Oseltamivir (75mg twice daily)","Rapid Influenza Test, CBC","Rest, Hydration","Warm soups, Ginger tea",False
"high fever, rash, joint pain",Dengue,Mosquito-borne viral disease causing thrombocytopenia.,"Paracetamol (500mg 6 hourly), Oral Rehydration (As needed)","NS1 Antigen, PCR Test","Mosquito control, Platelet monitoring","Papaya leaf extract, Coconut water",True
"excessive thirst, frequent urination",Diabetes,Chronic metabolic disorder with insulin deficiency/resistance.,"Metformin (500mg twice daily), Insulin Glargine (As prescribed)","HbA1c, Fasting Blood Sugar","Diet control, Regular exercise","High fiber foods, Bitter gourd",False
"chest pain, shortness of breath",Heart Attack,Acute myocardial ischemia due to coronary blockage.,"Aspirin (325mg chewable), Nitroglycerin (0.4mg sublingual)","ECG, Troponin Test","Immediate hospitalization, CPR if needed",,True
"back pain, blood in urine",Kidney Stones,Hard mineral deposits in kidneys,Tamsulosin (0.4mg daily),Malaria antigen test,Hydration,"Cranberry juice, Water",True
"back pain, blood in urine",Epilepsy,Hard mineral deposits in kidneys,Amoxicillin (500mg twice daily),"X-ray, MRI",Avoid smoking,"Turmeric, Omega-3 rich foods",False
"fatigue, weight loss",Typhoid,Chronic respiratory inflammation,Tamsulosin (0.4mg daily),Malaria antigen test,Hydration,"Turmeric, Omega-3 rich foods",True
"fatigue, weight loss",Hypertension,Elevated blood pressure,Lisinopril (10mg daily),"Urine analysis, CT scan",Physical therapy,High-protein diet,True
"back pain, blood in urine",Stroke,Hard mineral deposits in kidneys,Tamsulosin (0.4mg daily),Rheumatoid factor test,Low sodium diet,"Green vegetables, Whole grains",False
"fatigue, weight loss",Arthritis,Elevated blood pressure,Lisinopril (10mg daily),Rheumatoid factor test,Avoid smoking,"Low-fat dairy, Fish",False
"back pain, blood in urine",Epilepsy,Autoimmune joint disorder,Lisinopril (10mg daily),"Blood pressure check, ECG",Physical therapy,High-protein diet,True
"dizziness, nausea",Kidney Stones,Chronic respiratory inflammation,Ibuprofen (200mg 8 hourly),"Urine analysis, CT scan",Hydration,High-protein diet,False
"fatigue, weight loss",Kidney Stones,Autoimmune joint disorder,Lisinopril (10mg daily),"Blood pressure check, ECG",Avoid smoking,"Low-fat dairy, Fish",False
"fatigue, weight loss",Arthritis,Chronic respiratory inflammation,Hydroxychloroquine (200mg daily),Malaria antigen test,Low sodium diet,"Cranberry juice, Water",False
